,reviews,rates,reviews_spl,lemmas
17,"Незабываемые впечатления от кормления рыб аквалангистом в самом большом цилиндрическом аквариуме. Очень разнообразно представлен фастфуд и подобные перекусы. Можно и сделать покупки, и перекусить, и интересно провести время в квеструмах.",5,Незабываемые впечатления от кормления рыб аквалангистом в самом большом цилиндрическом аквариуме  Очень разнообразно представлен фастфуд и подобные перекусы  Можно и сделать покупки и перекусить и интересно провести время в квеструмах  ,незабываемый впечатление от кормление рыба аквалангист в самый большой цилиндрический аквариум очень разнообразно представлять фастфуд и подобный перекус можно и сделать покупка и перекусить и интересно проводить время в квеструм
18,"Главная достопримечательность данного торгового центра это аквариум, занесенный в книгу рекордов Гиннеса, в остальном обычный торговый центр",5,Главная достопримечательность данного торгового центра это аквариум занесенный в книгу рекордов Гиннеса в остальном обычный торговый центр,главный достопримечательность данный торговый центр это аквариум занести в книга рекорд гиннес в остальное обычный торговый центр
19,"Отличное место для всей семьи. Пожалели что приехали поздно, много чего  не успели , успели только поесть , ребёнок 16 лет поиграл в виртуальные игры (которые в очках) и очень долго завис в тире &quot;цель&quot;( была акция 1+1), муж успел погулять по огромному супермаркету. Не успели</span><span>&hellip;",5,Отличное место для всей семьи  Пожалели что приехали поздно много чего  не успели  успели только поесть  ребёнок 16 лет поиграл в виртуальные игры которые в очках и очень долго завис в тире  цель  была акция 1+1 муж успел погулять по огромному супермаркету ,отличный место для весь семья пожалеть что приезжать поздно много что не успевать успевать только поесть ребенок 16 год поиграть в виртуальный игра который в очки и очень долго зависать в тир цель быть акция 1 + 1 муж успевать погулять по огромный супермаркет
20,"Отличное место для празднования дня рождения в дождливый летний день.  План был такой: 13.00 Квест «Аркада» (динамичный), бронировать не нужно 14.00 Обед в ресторане Ереван, бронировала столик за 2 часа 16.30 Два квеста - один для детей, второй для родителей в «Клаустрофобии»,</span><span>&hellip;",5,Отличное место для празднования дня рождения в дождливый летний день  План был такой: 13  00 Квест «Аркада» динамичный бронировать не нужно 14  00 Обед в ресторане Ереван бронировала столик за 2 часа 16 ,отличный место для празднование день рождение в дождливый летний день план быть такой : 13 00 квест « аркада » динамичный бронировать не нужно 14 00 обед в ресторан ереван бронировать столик за 2 час 16
21,Хороший магазин знаменитой торговой марки. Отличное обслуживание. Хороший выбор. Жена осталась довольна покупкой.,5,Хороший магазин знаменитой торговой марки  Отличное обслуживание  Хороший выбор  Жена осталась довольна покупкой  ,хороший магазин знаменитый торговый марка отличный обслуживание хороший выбор жена оставаться довольный покупка
22,"Лучший Тц в Москве :) очень много детских развлечений, на любой вкус, интерес и возраст. В будни вход в игровые комнаты дешевле !;)",5,Лучший Тц в Москве : очень много детских развлечений на любой вкус интерес и возраст  В будни вход в игровые комнаты дешевле   ;,хороший тц в москва : очень много детский развлечение на любой вкус интерес и возраст в будни вход в игровой комната дешево ;
23,"Приехали посмотреть самый большой аквариум, но не впечатлились. Виды верхней части плохо доступны, так как закрыты большими кубическими рекламныии блоками.  Что же касается торгового центра, то он хорош. Туплеты чистые, правда бумага по качеству ниже плинтуса,  ребёнку точно не</span><span>&hellip;",5,Приехали посмотреть самый большой аквариум но не впечатлились  Виды верхней части плохо доступны так как закрыты большими кубическими рекламныии блоками  Что же касается торгового центра то он хорош ,приезжать посмотреть самый большой аквариум но не впечатлиться вид верхний часть плохо доступный так как закрывать большой кубический рекламныии блок что же касаться торговый центр то он хороший
24,"Случайно попали в торговый центр и были приятно удивлены. Очень красивый, современный, в центре огромный аквариум высотой в пять этажей с экзотическими рыбками. По всему торговому центру *летают* в воздухе оригинальные поросята (наверно в честь года свиньи).   Много магазинов и</span><span>&hellip;",5,Случайно попали в торговый центр и были приятно удивлены  Очень красивый современный в центре огромный аквариум высотой в пять этажей с экзотическими рыбками  По всему торговому центру *летают* в воздухе оригинальные поросята наверно в честь года свиньи ,случайно попадать в торговый центр и быть приятно удивлять очень красивый современный в центр огромный аквариум высота в пять этаж с экзотический рыбка по весь торговый центр * летать * в воздух оригинальный поросенок наверно в честь год свинья
25,Новый самый большой по площади в восточной Европе торговый центр.посередине на все 4 этажа огромный аквариум с рыбками .впечатляет.стеклянные лифты сначала заходить было страшно но зашла и так здорово.тоже впечатляет.на этажах между правой и левой стеной подвесные лестницы идёшь</span><span>&hellip;,5,Новый самый большой по площади в восточной Европе торговый центр  посередине на все 4 этажа огромный аквариум с рыбками   впечатляет  стеклянные лифты сначала заходить было страшно но зашла и так здорово  тоже впечатляет ,новый самый большой по площадь в восточный европа торговый центр посередине на весь 4 этаж огромный аквариум с рыбка впечатлять стеклянный лифт сначала заходить быть страшно но зайти и так здорово тоже впечатлять
26,Аквапарк очень понравился своим размахом и различными атракционами. Здесь приятно провести выходные в кругу своей семьи с любимой женой и детьми.,5,Аквапарк очень понравился своим размахом и различными атракционами  Здесь приятно провести выходные в кругу своей семьи с любимой женой и детьми  ,аквапарк очень понравиться свой размах и различный атракцион здесь приятно проводить выходной в круг свой семья с любимый жена и ребенок
27,"Очень хороший торговый центр, много магазинов, находится в двух шагах от метро ЦСКА. Кстати, очень красивый аквариум:)",5,Очень хороший торговый центр много магазинов находится в двух шагах от метро ЦСКА  Кстати очень красивый аквариум:,очень хороший торговый центр много магазин находиться в два шаг от метро цска кстати очень красивый аквариум :
28,Короче поехали мы на метро. Само станция говорит о многом.Станция метро ЦСКа так ка недавно ЧМ 2018 состоялось вот поэтому новую станцию красивую построили. От станции 2 мин. Огроомный красивый. Много входов и даже можно сразу в Ашан от туда. При входе можно оставить вещи в</span><span>&hellip;,5,Короче поехали мы на метро  Само станция говорит о многом  Станция метро ЦСКа так ка недавно ЧМ 2018 состоялось вот поэтому новую станцию красивую построили  От станции 2 мин  Огроомный красивый  Много входов и даже можно сразу в Ашан от туда ,короче поехать мы на метро сам станция говорить о многое станция метро цска так ка недавно ЧМ 2018 состояться вот поэтому новый станция красивый построить от станция 2 мина огроомный красивый много вход и даже можно сразу в ашан от туда
29,"Есть абсолютно все, можно приходить на целый выходной всей семьей и не будете разочарованы. Можно и спортом позаниматься и поесть и по магазинам походить, а уж развлечений тьма)))",5,Есть абсолютно все можно приходить на целый выходной всей семьей и не будете разочарованы  Можно и спортом позаниматься и поесть и по магазинам походить а уж развлечений тьма,быть абсолютно все можно приходить на целый выходной весь семья и не быть разочаровывать можно и спорт позаниматься и поесть и по магазин походить а уж развлечение тьма
30,"Есть все и вся, да ещё и цска станцию метро в 2х минутах ходьбы. Бывает людно в выходные, но это сильно не сказывается на Вас, очередей в поимерочную, как например в европейском нет. Первое время теряешься, но со второго посещения начинаешь нормально ориентироваться. ",5,Есть все и вся да ещё и цска станцию метро в 2х минутах ходьбы  Бывает людно в выходные но это сильно не сказывается на Вас очередей в поимерочную как например в европейском нет  Первое время теряешься но со второго посещения начинаешь нормально ориентироваться  ,быть все и весь да еще и цска станция метро в 2х минута ходьба бывать людно в выходной но это сильно не сказываться на вы очередь в поимерочный как например в европейский нет первый время теряться но со второй посещение начинать нормально ориентироваться
31,Отличный торговый центр для встречи с друзьями. Помимо всех популярных магазинов в парке есть отличный кинотеатр и каток с искусственным льдом. Территория торгового центра огромная. Для детей здесь рай👍,5,Отличный торговый центр для встречи с друзьями  Помимо всех популярных магазинов в парке есть отличный кинотеатр и каток с искусственным льдом  Территория торгового центра огромная  Для детей здесь рай👍,отличный торговый центр для встреча с друг помимо весь популярный магазин в парк быть отличный кинотеатр и каток с искусственный лед территория торговый центр огромный для ребенок здесь рай 👍
32,"Хожу сюда часто, так как все в одном месте. Правда, место супердлинное, чтобы все уместить. Фудкорт расширился более высокой кухней, особенно азиатские блюда мне нравятся здесь: порции огромнейшие, выбор достойный, цены - чуть выше, чем наесться в макдаке, зато жить после этой</span><span>&hellip;",5,Хожу сюда часто так как все в одном месте  Правда место супердлинное чтобы все уместить ,ходить сюда часто так как все в один место правда место супердлинный чтобы все умещать
33,"Огромный ТЦ. Удобная транспортная доступность. Много развлечений для детей, взрослых. Еда на любой вкус. Но, главной достопримечательностью центра является аквариум, занесённый в книгу рекордов Гиннеса! Только из-за него стоит сюда приехать)) в остальном-обычный торговый центр ",5,Огромный ТЦ  Удобная транспортная доступность  Много развлечений для детей взрослых  Еда на любой вкус  Но главной достопримечательностью центра является аквариум занесённый в книгу рекордов Гиннеса  Только из-за него стоит сюда приехать в остальном-обычный торговый центр ,огромный тц удобный транспортный доступность много развлечение для ребенок взрослый еда на любой вкус но главный достопримечательность центр являться аквариум занести в книга рекорд гиннес только из - за он стоять сюда приезжать в остальное - обычный торговый центр
34,"От этого места просто дух захватывает! Настолько большой этот ТЦ. Если вы когда-нибудь слышали слово &quot;бесконечность&quot;, то вы примерно можете представить себе это место. Центр идеально подходит для проведения выходных всей семьёй. Здесь есть все развлечения. И для детишек и для</span><span>&hellip;",5,От этого места просто дух захватывает  Настолько большой этот ТЦ  Если вы когда-нибудь слышали слово  бесконечность  то вы примерно можете представить себе это место  Центр идеально подходит для проведения выходных всей семьёй  Здесь есть все развлечения ,от этот место просто дух захватывать настолько большой этот тц если вы когда - нибудь слышать слово бесконечность то вы примерно мочь представлять себя это место центр идеально подходить для проведение выходной весь семья здесь быть весь развлечение
35,"Для меня это лучший торговый центр в Москве. Большая территория, много развлечений на любой вкус. Ходим с семьей отдыхать в этот торговый центр и всегда посещаем ресторанный дворик. Вкусная кухня, чистый зал.",5,Для меня это лучший торговый центр в Москве  Большая территория много развлечений на любой вкус  Ходим с семьей отдыхать в этот торговый центр и всегда посещаем ресторанный дворик  Вкусная кухня чистый зал  ,для я это хороший торговый центр в москва большой территория много развлечение на любой вкус ходить с семья отдыхать в этот торговый центр и всегда посещать ресторанный дворик вкусный кухня чистый зал
36,"Наверное лучший торговый центр в Москве. Огромная парковка, всегда есть места. Множество магазинов и шикарный ресторанный дворик. Есть все и даже больше. Целый день развлекаться можно всей семьей, но денег взять с собой побольше. Все как и везде в Москве не дешево.",5,Наверное лучший торговый центр в Москве  Огромная парковка всегда есть места  Множество магазинов и шикарный ресторанный дворик  Есть все и даже больше  Целый день развлекаться можно всей семьей но денег взять с собой побольше  Все как и везде в Москве не дешево  ,наверное хороший торговый центр в москва огромный парковка всегда быть место множество магазин и шикарный ресторанный дворик быть все и даже много целый день развлекаться можно весь семья но деньги взять с себя много все как и везде в москва не дешевый
37,"Замечательный торговый комплекс есть все, люблю это место, гуляю с друзьями. Оправдывает свои Габориты, самый большой тц в Европе. ",5,Замечательный торговый комплекс есть все люблю это место гуляю с друзьями  Оправдывает свои Габориты самый большой тц в Европе  ,замечательный торговый комплекс быть все любить этот место гулять с друг оправдывать свой габорит самый большой тц в европа
38,"Рекомендую пометить этот ТРЦ вместе с ребёнком , который любит подвижные активности . Очень хвалю Панда Парк и Заманию . Вокруг очень много точек питания на все вкусы, единственный минус : ребёнка нельзя оставлять одного, только в присутствии родителя ,",5,Рекомендую пометить этот ТРЦ вместе с ребёнком  который любит подвижные активности   Очень хвалю Панда Парк и Заманию   Вокруг очень много точек питания на все вкусы единственный минус : ребёнка нельзя оставлять одного только в присутствии родителя ,рекомендовать помечать этот трц вместе с ребенок который любить подвижной активность очень хвалить панда парк и замания вокруг очень много точка питание на весь вкус единственный минус : ребенок нельзя оставлять один только в присутствие родитель
39,"Огромный торговый цент , можно ходить целый день , есть много кафе /ресторанов на любой вкус и кошелёк 👍🏻однако не так много магазинов для детей ( любого возраста )определённо для бесцельного время провождения ТЦ хорош , а вот если нужно одеть /обуть детей , пожалуй  выберу</span><span>&hellip;",5,Огромный торговый цент  можно ходить целый день  есть много кафе /ресторанов на любой вкус и кошелёк 👍🏻однако не так много магазинов для детей  любого возраста определённо для бесцельного время провождения ТЦ хорош  а вот если нужно одеть /обуть детей  пожалуй  выберу,огромный торговый цент можно ходить целый день быть много кафе / ресторан на любой вкус и кошелек 👍🏻 однако не так много магазин для ребенок любой возраст определенно для бесцельный время провождение тц хороший а вот если нужно одевать / обувать ребенок пожалуй выбирать
40,"Посещение авиапарка надо начинать с просмотра аквариума,красота высота завораживающая,далее мир покупок и эскалаторов,затем перекус на 4 этаже,а потом прогулки по парку,",5,Посещение авиапарка надо начинать с просмотра аквариумакрасота высота завораживающаядалее мир покупок и эскалаторовзатем перекус на 4 этажеа потом прогулки по парку,посещение авиапарк надо начинать с просмотр аквариумакрасота высота завораживающаядалее мир покупка и эскалаторовзатем перекус на 4 этажеа потом прогулка по парк
41,"Мы часто бываем в Авиапарке: работаем поблизости. Наверху ресторанный дворик — кафешки и рестораны на любой вкус и кошелёк. Приходим туда с детьми: на аттракционы и за школьными принадлежностями, за новой недорогой одеждой и за продуктами. И каждый раз любуемся на главную</span><span>&hellip;",5,Мы часто бываем в Авиапарке: работаем поблизости  Наверху ресторанный дворик — кафешки и рестораны на любой вкус и кошелёк  Приходим туда с детьми: на аттракционы и за школьными принадлежностями за новой недорогой одеждой и за продуктами ,мы часто бывать в авиапарк : работать поблизости наверху ресторанный дворик — кафешка и ресторан на любой вкус и кошелек приходить туда с ребенок : на аттракцион и за школьный принадлежность за новый недорогой одежда и за продукт
42,"Очень нравится ТЦ &quot;Авиапарк&quot;, своим расположением и своей логистикой внутри. Каждый раз, приходя сюда, находим всё, что планировали по покупкам. Сам центр намного удобнее всех Мег и тому подобных. Лучший ТЦ Москвы на сегодняшний момент!",5,Очень нравится ТЦ  Авиапарк  своим расположением и своей логистикой внутри  Каждый раз приходя сюда находим всё что планировали по покупкам  Сам центр намного удобнее всех Мег и тому подобных  Лучший ТЦ Москвы на сегодняшний момент  ,очень нравиться тц авиапарк свой расположение и свой логистика внутри каждый раз приходить сюда находить все что планировать по покупка сам центр намного удобный все мег и то подобный хороший тц москва на сегодняшний момент
